ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
DPR,1,2013,,,4.3,,0.236,0.194,18,74,5,22.1,11484.0,49659.0,,,,,,0.782,,,5.2,6.1,5.2,-0.052,10686.0,0.36,0.289,0.31,0.0,0.0,0.1,0.3,1.3,1183,0.235,0.21,88,20.2,-0.118,0.5,1.1,0.289,1.2,,,,,,,,,0.2,,-0.022,0.034,
DPR,4,2012,,,3.8,,0.257,0.2,17,82,1,112.5,12109.0,48011.0,,,,,,0.738,,,4.0,4.2,3.6,-0.255,10931.0,0.423,0.359,0.391,0.1,0.0,0.2,2.0,1.4,1134,0.3,0.273,97,21.7,-0.102,0.5,1.1,0.359,1.2,,,,,,,,,0.3,,-0.322,0.022,
DPR,3,2012,,,2.4,,0.379,0.293,31,74,4,122.9,16244.0,46981.0,,,,,,0.796,,,4.7,5.2,4.5,-0.077,16116.0,0.381,0.349,0.357,0.0,0.0,0.1,0.1,1.3,1098,0.293,0.265,102,11.6,-0.121,0.6,1.1,0.349,1.1,,,,,,,,,0.2,,-0.06,0.087,
DPR,2,2012,,,2.0,,0.459,0.352,12,72,3,348.1,17602.0,43212.0,,,,,,0.765,,,3.7,3.8,3.1,-0.047,17152.0,0.47,0.405,0.466,0.0,0.0,0.1,0.6,1.3,948,0.36,0.31,81,29.5,-0.097,0.8,1.1,0.405,1.3,,,,,,,,,0.3,,-0.029,-0.034,
DPR,1,2012,,,2.1,,0.49,0.379,12,33,3,,18464.0,44747.0,,,,,,0.817,,,5.4,6.5,5.9,-0.065,17657.0,0.305,0.254,0.324,0.0,0.0,0.1,0.0,1.2,1097,0.389,0.316,41,31.6,-0.142,0.8,1.2,0.254,1.5,,,,,,,,,0.2,,-0.087,0.034,
DPR,4,2011,,,1.8,,0.545,0.415,7,55,1,-525.6,19745.0,43284.0,,,,,,0.769,,,3.8,3.9,3.3,0.254,19343.0,0.664,0.698,0.641,0.0,0.0,0.0,0.0,1.3,986,0.461,0.394,61,52.3,-0.139,0.9,1.1,0.698,1.0,,,,,,,,,0.3,,0.369,0.168,
DPR,3,2011,,,2.5,,0.493,0.366,26,37,4,284.1,15746.0,37065.0,,,,,,0.715,,,2.8,2.9,2.5,0.177,14128.0,0.36,0.328,0.355,0.0,0.0,0.1,0.0,1.4,796,0.467,0.371,59,14.2,-0.092,0.9,1.1,0.328,1.2,,,,,,,,,0.4,,0.152,0.153,
DPR,2,2011,,,3.4,,0.477,0.368,16,47,3,346.8,13381.0,32144.0,,,,,,0.74,,,3.3,2.8,2.4,0.153,12269.0,0.517,0.462,0.589,0.0,0.0,0.1,0.0,1.4,593,0.375,0.224,61,22.2,-0.137,0.9,1.2,0.462,1.5,,,,,,,,,0.3,,0.084,0.099,
DPR,1,2011,,,4.4,,0.455,0.33,10,17,3,77.4,11609.0,29238.0,,,,,,0.687,,,2.5,2.0,1.9,0.264,11316.0,0.377,0.337,0.346,0.1,0.1,0.3,1.8,1.5,459,0.513,0.258,24,35.5,-0.097,0.9,1.1,0.337,1.1,,,,,,,,,0.4,,0.232,0.047,
DPR,4,2010,,,7.1,,0.375,0.27,10,45,2,116.8,9187.0,27934.0,,,,,,0.717,,,2.9,1.9,1.7,0.221,9187.0,0.524,0.436,0.496,0.0,0.0,0.3,0.2,1.4,364,0.414,0.17,53,35.5,-0.096,0.7,1.1,0.436,1.3,,,,,,,,,0.3,,0.154,0.092,
DPR,3,2010,,,7.2,,0.342,0.248,18,30,8,145.5,7527.0,25582.0,,,,,,0.749,,,3.5,2.0,1.8,0.206,7961.0,0.415,0.344,0.332,0.0,0.0,0.4,0.6,1.3,288,0.297,0.134,40,20.0,-0.1,0.7,1.1,0.344,1.1,,,,,,,,,0.3,,0.224,0.123,
DPR,2,2010,,,9.4,,0.314,0.235,13,40,4,16.5,6239.0,22775.0,,,,,,0.779,,,4.3,1.9,1.5,0.125,6504.0,0.413,0.293,0.323,0.1,0.1,0.5,1.2,1.3,175,0.184,0.07,50,27.5,-0.051,0.7,1.1,0.293,1.2,,,,,,,,,0.2,,0.091,0.096,
DPR,1,2010,,,10.6,,0.297,0.22,12,16,3,13.0,5545.0,20779.0,,,,,,0.746,,,3.4,1.4,1.3,0.096,5964.0,0.398,0.332,0.31,0.2,0.1,0.8,4.0,1.3,97,0.273,0.094,25,29.6,-0.038,0.6,1.1,0.332,1.0,,,,,,,,,0.3,,0.179,0.029,
DPR,4,2009,,,12.2,,0.279,0.19,18,44,2,621.9,5060.0,20200.0,,,,,,0.696,,,2.5,1.2,1.1,0.418,5059.0,0.415,0.377,0.38,0.2,0.2,1.4,5.5,1.4,67,0.315,0.118,60,20.1,-0.028,0.6,1.0,0.377,1.0,,,,,,,,,0.4,,0.508,0.145,
DPR,3,2009,,,20.7,,0.205,0.137,16,50,9,15.7,3568.0,17637.0,,,,,,0.667,,,2.2,1.0,0.9,-0.204,3354.0,0.366,0.329,0.333,0.3,0.2,1.1,5.5,1.5,10,0.142,0.041,56,23.5,-0.028,0.5,1.0,0.329,1.0,,,,,,,,,0.5,,-0.16,0.082,
DPR,2,2009,,,11.8,,0.289,0.193,11,34,8,3.1,4483.0,16304.0,,,,,,0.684,,,2.3,0.8,0.7,-0.123,3992.0,0.314,0.22,0.273,0.3,0.2,0.9,4.8,1.5,-43,0.051,0.02,37,34.4,-0.028,0.7,1.3,0.22,1.6,,,,,,,,,0.4,,,0.015,
DPR,1,2009,,,,,0.32,0.224,11,10,1,8.0,5112.0,16061.0,,,,,,0.715,,,2.6,0.9,0.8,-0.069,,0.227,0.172,0.266,0.3,0.2,,,1.4,-34,0.032,0.013,20,32.5,,0.7,1.0,0.172,1.5,,,,,,,,,0.4,,,0.011,
