ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
BID,2,2014,4133,0.186,0.182,,,-2668.0,5355.0,0.153,0.163,,514,404,395,-0.522,-0.743,71,770,381,-2172,2687,
BID,1,2014,3498,0.12,-0.167,,,-1959.0,4603.0,0.173,-0.293,,1949,1545,1536,0.346,0.626,335,605,165,-695,2644,
BID,4,2013,4199,0.094,0.288,,,-2743.0,6507.0,0.37,0.516,,1250,949,945,-0.276,-0.166,1171,665,473,-2514,3764,
BID,3,2013,3261,0.168,-0.064,,,-1406.0,4291.0,0.261,-0.076,,1481,1139,1132,2.355,0.368,272,568,191,-1404,2885,
BID,2,2013,3484,-0.092,0.115,,,-1768.0,4643.0,-0.085,0.183,,1064,832,828,2.117,-0.275,225,708,226,-1811,2875,
BID,1,2013,3124,0.089,-0.186,,,-1602.0,3924.0,0.119,-0.174,,1515,1146,1142,-0.181,-0.125,216,515,70,-807,2322,
BID,4,2012,3838,,0.375,,,-1930.0,4751.0,,0.396,,1748,1304,1305,,2.866,67,552,293,-1073,2821,
BID,3,2012,2791,-0.094,-0.272,,,-1289.0,3403.0,-0.048,-0.329,,439,341,338,-0.264,0.271,78,503,31,-1675,2115,
BID,2,2012,3835,,0.338,,,-1879.0,5075.0,,0.447,,323,271,266,,-0.81,387,582,271,-2873,3196,
BID,1,2012,2867,,,,,-1615.0,3507.0,,,,1865,1402,1395,,,115,504,21,-27,1893,
BID,3,2011,3082,,,,,-1886.0,3576.0,,,,573,447,459,,,1,401,92,-1117,1690,
FPT,3,2022,11149,0.278,0.104,-6789,4359,-2593.0,1767.0,0.284,0.118,-167,2028,1756,1454,0.292,0.162,,,,,,2222.0
FPT,2,2022,10096,0.168,0.038,-6253,3843,-2262.0,1581.0,0.057,0.117,-177,1858,1562,1251,0.251,0.01,,,,,,2029.0
FPT,1,2022,9730,0.283,-0.091,-5777,3953,-2538.0,1416.0,0.31,-0.031,-146,1779,1539,1239,0.367,-0.048,,,,,,1846.0
FPT,4,2021,10704,0.235,0.227,-6610,4094,-2633.0,1462.0,0.163,0.062,-138,1760,1560,1302,0.324,0.157,,,,,,1920.0
FPT,3,2021,8725,0.155,0.01,-5474,3251,-1875.0,1376.0,0.154,-0.08,-120,1639,1375,1125,0.211,0.125,,,,,,1788.0
FPT,2,2021,8642,0.238,0.139,-5202,3440,-1945.0,1495.0,0.356,0.384,-125,1539,1260,1000,0.138,0.104,,,,,,1882.0
FPT,1,2021,7586,0.144,-0.125,-4692,2895,-1814.0,1081.0,0.029,-0.14,-100,1397,1151,906,0.213,-0.078,,,,,,1467.0
FPT,4,2020,8667,0.067,0.147,-5196,3471,-2214.0,1257.0,0.215,0.054,-99,1447,1253,983,0.298,0.058,,,,,,1646.0
FPT,3,2020,7553,0.063,0.082,-4554,2999,-1806.0,1192.0,0.0,0.081,-86,1386,1149,929,-0.033,0.057,,,,,,1565.0
FPT,2,2020,6980,0.023,0.053,-4258,2722,-1619.0,1103.0,0.021,0.05,-101,1285,1084,879,0.11,0.176,,,,,,1471.0
FPT,1,2020,6631,0.17,-0.183,-4006,2624,-1574.0,1050.0,0.296,0.015,-100,1142,937,747,0.193,-0.013,,,,,,1412.0
FPT,4,2019,8120,0.168,0.143,-5049,3071,-2036.0,1035.0,0.22,-0.132,-121,1157,972,757,-0.037,-0.211,,,,,,1381.0
FPT,3,2019,7104,0.177,0.041,-4322,2783,-1590.0,1193.0,0.344,0.104,-101,1368,1160,960,0.324,0.213,,,,,,1539.0
FPT,2,2019,6826,0.247,0.205,-4248,2578,-1498.0,1080.0,0.503,0.334,-72,1179,986,792,0.332,0.264,,,,,,1413.0
FPT,1,2019,5666,0.193,-0.185,-3387,2279,-1469.0,810.0,0.223,-0.045,-73,960,794,626,0.23,-0.204,,,,,,1129.0
FPT,4,2018,6952,-0.444,0.152,-4381,2571,-1723.0,848.0,-0.034,-0.044,-75,1115,926,786,-0.446,0.085,,,,,,1142.0
FPT,3,2018,6036,-0.443,0.103,-3740,2296,-1408.0,887.0,0.062,0.234,-62,1051,890,725,0.244,0.22,,,,,,1198.0
FPT,2,2018,5474,-0.45,0.152,-3474,2001,-1282.0,719.0,-0.096,0.085,-55,906,759,594,0.161,0.168,,,,,,1005.0
FPT,1,2018,4751,-0.496,-0.62,-2895,1856,-1193.0,662.0,0.013,-0.245,-46,781,653,509,0.233,-0.641,,,,,,937.0
FPT,4,2017,12496,0.008,0.154,-9645,2850,-1973.0,878.0,-0.136,0.051,-70,1940,1567,1420,1.147,1.437,,,,,,1174.0
FPT,3,2017,10831,0.11,0.089,-8415,2416,-1581.0,835.0,0.053,0.051,-85,882,744,583,0.245,0.139,,,,,,1088.0
FPT,2,2017,9947,0.11,0.056,-7515,2432,-1637.0,795.0,0.09,0.215,-100,783,670,512,-0.008,0.239,,,,,,1045.0
FPT,1,2017,9418,0.112,-0.24,-7343,2076,-1421.0,654.0,0.282,-0.356,-113,643,540,413,0.194,-0.375,,,,,,895.0
FPT,4,2016,12400,0.187,0.271,-9612,2787,-1771.0,1016.0,0.205,0.28,-103,1002,832,661,-0.002,0.413,,,,,,1273.0
FPT,3,2016,9755,0.024,0.089,-7539,2217,-1423.0,793.0,0.137,0.088,-104,754,667,468,0.202,-0.093,,,,,,1051.0
FPT,2,2016,8959,-0.04,0.058,-7025,1934,-1204.0,729.0,-0.024,0.429,-107,695,630,516,0.13,0.493,,,,,,940.0
FPT,1,2016,8467,-0.02,-0.19,-6780,1686,-1176.0,510.0,-0.227,-0.394,-64,563,447,346,-0.186,-0.478,,,,,,718.0
FPT,4,2015,10449,-0.319,0.097,-8290,2159,-1316.0,843.0,0.333,0.208,-105,882,781,662,0.47,0.702,,,,,,1115.0
FPT,3,2015,9527,-0.293,0.021,-7613,1915,-1217.0,698.0,0.223,-0.066,-55,618,519,389,0.0,-0.148,,,,,,812.0
FPT,2,2015,9329,-0.127,0.08,-7527,1802,-1055.0,747.0,0.166,0.132,-66,705,591,457,0.068,0.075,,,,,,930.0
FPT,1,2015,8641,-0.205,-0.436,-6952,1690,-1029.0,660.0,0.213,0.044,-41,645,547,425,0.175,-0.057,,,,,,823.0
FPT,4,2014,15333,0.359,0.138,-13565,1768,-1136.0,632.0,0.146,0.109,-92,631,534,451,-0.05,0.158,,,,,,796.0
FPT,3,2014,13477,0.123,0.261,-11871,1607,-1036.0,570.0,0.034,-0.11,-49,599,504,389,0.177,-0.09,,,,,,708.0
FPT,2,2014,10685,0.144,-0.017,-9131,1554,-913.0,641.0,-0.059,0.177,-47,645,557,428,-0.039,0.183,,,,,,761.0
FPT,1,2014,10867,0.262,-0.037,-9522,1345,-801.0,544.0,-0.014,-0.014,-36,582,481,362,0.009,-0.237,,,,,,670.0
FPT,4,2013,11283,0.126,-0.06,-9645,1638,-1086.0,552.0,-0.034,0.001,-33,676,541,474,0.056,0.434,,,,,,677.0
FPT,3,2013,12001,0.216,0.285,-10655,1346,-795.0,552.0,0.136,-0.19,-34,563,465,331,-0.023,-0.257,,,,,,665.0
FPT,2,2013,9337,-0.034,0.084,-7971,1365,-685.0,681.0,0.16,0.233,-30,702,584,445,0.079,0.241,,,,,,779.0
FPT,1,2013,8611,-0.037,-0.141,-7418,1193,-641.0,552.0,-0.037,-0.034,-36,574,475,358,0.052,-0.202,,,,,,659.0
FPT,4,2012,10021,-0.276,0.015,-8510,1511,-940.0,571.0,-0.155,0.177,-73,651,545,449,-0.03,0.327,,,,,,669.0
FPT,3,2012,9870,-0.027,0.021,-8734,1136,-650.0,485.0,-0.161,-0.173,-69,550,452,338,-0.341,-0.179,,,,,,592.0
FPT,2,2012,9667,0.036,0.082,-8423,1244,-657.0,587.0,-0.106,0.024,-86,627,529,412,-0.008,0.211,,,,,,678.0
FPT,1,2012,8937,-0.124,-0.354,-7820,1117,-544.0,573.0,-0.115,-0.153,-55,578,460,341,0.148,-0.264,,,,,,677.0
FPT,4,2011,13832,0.356,0.364,-12179,1653,-977.0,676.0,0.234,0.169,-55,649,580,463,0.523,-0.099,,,,,,761.0
FPT,3,2011,10141,-0.195,0.087,-8896,1244,-666.0,579.0,0.372,-0.118,-99,662,540,513,0.827,0.236,,,,,,655.0
FPT,2,2011,9330,-0.13,-0.085,-8039,1291,-635.0,656.0,0.247,0.014,-92,688,553,415,0.07,0.401,,,,,,757.0
FPT,1,2011,10199,0.272,0.0,-9038,1161,-513.0,648.0,0.431,0.182,-99,516,416,297,0.023,-0.024,,,,,,741.0
FPT,4,2010,10199,-0.319,-0.191,-8902,1297,-749.0,548.0,0.051,0.299,-86,474,429,304,0.048,0.081,,,,,,915.0
FPT,3,2010,12603,0.504,0.175,-11475,1128,-706.0,422.0,-0.147,-0.199,-103,462,373,281,-0.128,-0.276,,,,,,696.0
FPT,2,2010,10724,0.219,0.338,-9531,1193,-666.0,527.0,0.284,0.163,-52,632,505,388,0.674,0.338,,,,,,716.0
FPT,1,2010,8018,0.078,-0.465,-7008,1009,-557.0,453.0,0.063,-0.132,-74,455,384,290,0.321,0.001,,,,,,549.0
FPT,4,2009,14984,0.644,0.789,-13633,1350,-829.0,522.0,0.22,0.055,-65,426,368,290,-0.123,-0.1,,,,,,
FPT,3,2009,8377,0.122,-0.048,-7327,1050,-556.0,494.0,0.708,0.205,-16,485,406,322,1.674,0.389,,,,,,
FPT,2,2009,8799,-0.004,0.183,-7864,936,-525.0,410.0,-0.173,-0.037,-16,395,315,232,0.15,0.056,,,,,,
FPT,1,2009,7439,-0.115,-0.184,-6563,876,-450.0,426.0,0.452,-0.004,-13,392,317,220,0.18,-0.336,,,,,,
FPT,4,2008,9113,-0.028,0.221,-8097,1016,-589.0,427.0,0.232,0.477,-12,406,361,330,0.213,1.743,,,,,,
FPT,3,2008,7464,0.197,-0.155,-6743,721,-432.0,289.0,1.217,-0.416,-19,212,176,120,0.372,-0.402,,,,,,
FPT,2,2008,8830,,0.051,-7869,962,-466.0,496.0,,0.69,-28,328,273,202,,0.083,,,,,,
FPT,1,2008,8404,0.484,-0.104,-7714,690,-396.0,293.0,0.77,-0.154,-22,303,246,186,0.2,-0.317,,,,,,
FPT,4,2007,9376,0.313,0.503,-8481,896,-549.0,347.0,0.356,1.657,-12,367,313,273,0.193,2.103,,,,,,
FPT,3,2007,6238,0.144,,-5758,480,-350.0,131.0,0.227,,-10,153,128,88,0.285,,,,,,,
FPT,1,2007,5664,,-0.207,-5261,403,-237.0,166.0,,-0.352,-10,207,179,155,,-0.321,,,,,,
FPT,4,2006,7143,0.503,0.31,-6528,615,-359.0,256.0,0.937,1.405,-11,272,240,228,1.353,2.341,,,,,,
FPT,3,2006,5452,,,-5118,335,-228.0,106.0,,,0,107,93,68,,,,,,,,
FPT,2,2006,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
FPT,1,2006,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
FPT,4,2005,4754,,,-4427,327,-195.0,132.0,,,-10,124,108,97,,,,,,,,
FPT,3,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
FPT,2,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
FPT,1,2005,0,,,0,0,0.0,0.0,,,0,0,0,0,,,,,,,,
VGC,3,2022,3212,0.455,-0.248,-2392,819,-496.0,323.0,0.27,-0.628,-66,308,265,221,0.115,-0.656,,,,,,631
VGC,2,2022,4269,0.451,0.114,-2957,1312,-443.0,868.0,0.962,-0.07,-60,843,693,643,0.885,-0.084,,,,,,1813
VGC,1,2022,3833,0.625,0.038,-2438,1394,-460.0,934.0,1.483,1.414,-57,897,752,702,1.532,0.713,,,,,,1597
VGC,4,2021,3692,0.588,0.673,-2801,892,-505.0,387.0,1.371,0.52,-58,498,442,410,3.564,1.064,,,,,,895
VGC,3,2021,2207,-0.037,-0.25,-1651,556,-302.0,255.0,-0.163,-0.425,-33,256,208,199,0.05,-0.418,,,,,,661
VGC,2,2021,2942,0.215,0.248,-2189,753,-311.0,442.0,0.855,0.176,-36,439,350,341,1.194,0.231,,,,,,1564
VGC,1,2021,2358,-0.006,0.014,-1681,677,-301.0,376.0,0.461,1.305,-34,348,280,277,0.747,2.088,,,,,,533
VGC,4,2020,2325,-0.149,0.015,-1777,549,-385.0,163.0,-0.255,-0.463,-38,148,104,90,-0.308,-0.525,,,,,,313
VGC,3,2020,2291,-0.1,-0.054,-1650,641,-337.0,304.0,0.029,0.275,-40,267,218,189,0.129,0.216,,,,,,503
VGC,2,2020,2422,-0.056,0.021,-1826,596,-358.0,239.0,-0.243,-0.074,-40,206,174,156,-0.206,-0.02,,,,,,347
VGC,1,2020,2374,0.046,-0.132,-1840,534,-276.0,258.0,-0.031,0.176,-45,220,169,159,0.0,0.223,,,,,,419
VGC,4,2019,2734,0.047,0.074,-2090,644,-425.0,219.0,0.2,-0.258,-43,201,146,130,0.289,-0.225,,,,,,362
VGC,3,2019,2546,0.122,-0.008,-1876,671,-375.0,295.0,0.207,-0.063,-47,255,203,168,0.234,-0.145,,,,,,463
VGC,2,2019,2567,0.129,0.132,-1948,619,-304.0,315.0,0.008,0.186,-77,289,229,196,-0.117,0.235,,,,,,435
VGC,1,2019,2269,0.24,-0.131,-1780,489,-223.0,266.0,0.599,0.455,-4,226,180,159,0.535,0.575,,,,,,405
VGC,4,2018,2610,0.153,0.15,-2047,563,-380.0,183.0,0.631,-0.254,-40,180,139,101,0.02,-0.258,,,,,,330
VGC,3,2018,2270,-0.098,-0.002,-1757,513,-268.0,245.0,-0.055,-0.217,-49,212,167,136,-0.265,-0.388,,,,,,378
VGC,2,2018,2274,0.006,0.243,-1712,563,-250.0,313.0,0.018,0.882,-46,303,242,222,0.266,1.146,,,,,,430
VGC,1,2018,1830,-0.098,-0.192,-1455,374,-208.0,166.0,-0.354,0.485,-43,147,119,103,-0.415,0.046,,,,,,292
VGC,4,2017,2263,-0.048,-0.101,-1760,503,-391.0,112.0,-0.468,-0.568,-40,135,112,99,-0.213,-0.465,,,,,,253
VGC,3,2017,2517,0.341,0.113,-1977,540,-281.0,259.0,0.104,-0.157,-42,264,232,185,0.179,0.055,,,,,,356
VGC,2,2017,2261,0.227,0.115,-1715,546,-239.0,307.0,0.344,0.194,-34,267,213,175,0.453,-0.008,,,,,,425
VGC,1,2017,2029,0.055,-0.146,-1523,505,-248.0,257.0,0.38,0.223,-36,243,199,177,1.075,0.407,,,,,,360
VGC,4,2016,2376,0.177,0.267,-1831,546,-336.0,210.0,0.142,-0.103,-38,208,160,126,0.39,-0.199,,,,,,332
VGC,3,2016,1876,-0.139,0.018,-1376,501,-266.0,235.0,0.365,0.026,-43,231,196,157,0.83,0.3,,,,,,339
VGC,2,2016,1843,0.012,-0.042,-1341,502,-273.0,229.0,0.005,0.226,-45,190,157,121,0.455,0.417,,,,,,331
VGC,1,2016,1923,0.067,-0.047,-1489,434,-248.0,186.0,0.233,0.012,-42,135,103,85,0.223,-0.058,,,,,,291
VGC,4,2015,2018,,-0.073,-1554,464,-280.0,184.0,,0.072,-35,138,97,90,,0.054,,,,,,299
VGC,3,2015,2178,,0.197,-1737,441,-269.0,172.0,,-0.245,-45,139,115,86,,0.034,,,,,,271
VGC,2,2015,1820,,0.009,-1377,443,-216.0,228.0,,0.504,-40,143,113,83,,0.191,,,,,,228
VGC,1,2015,1803,,,-1435,368,-217.0,151.0,,,-41,104,81,70,,,,,,,,151
VPB,3,2022,10385,0.389,-0.008,,,-3536.0,13473.0,0.33,0.014,,4514,3542,3730,0.726,0.063,67,1769,1252,-5423,9937,
VPB,2,2022,10466,0.134,0.058,,,-3524.0,13286.0,0.103,-0.273,,4177,3324,3508,-0.127,-0.595,-41,1538,1324,-5586,9762,
VPB,1,2022,9888,0.084,0.16,,,-2991.0,18270.0,0.653,0.65,,11146,8917,8672,1.708,2.57,22,1249,7110,-4132,15279,
VPB,4,2021,8523,-0.025,0.14,,,-2855.0,11070.0,0.034,0.093,,2845,2272,2429,-0.162,0.124,767,1196,584,-5371,8216,
VPB,3,2021,7474,-0.052,-0.19,,,-2456.0,10133.0,0.07,-0.159,,2698,2161,2161,-0.04,-0.462,709,791,1159,-4979,7677,
VPB,2,2021,9232,0.199,0.012,,,-2817.0,12047.0,0.346,0.09,,5031,4016,4016,0.361,0.254,1454,1085,276,-4199,9230,
VPB,1,2021,9120,0.137,0.043,,,-2592.0,11051.0,0.116,0.032,,4006,3202,3202,0.384,0.105,155,987,789,-4453,8459,
VPB,4,2020,8740,0.084,0.109,,,-2767.0,10708.0,0.068,0.13,,3622,2897,2897,0.152,0.287,210,1033,724,-4318,7940,
VPB,3,2020,7884,-0.012,0.024,,,-2787.0,9472.0,-0.003,0.058,,2813,2252,2252,-0.014,-0.237,126,941,521,-3872,6685,
VPB,2,2020,7701,0.005,-0.04,,,-2555.0,8948.0,0.009,-0.097,,3673,2951,2951,0.44,0.275,20,687,540,-2720,6393,
VPB,1,2020,8021,0.182,-0.005,,,-3283.0,9906.0,0.244,-0.012,,2911,2314,2314,0.627,-0.08,738,695,451,-3712,6623,
VPB,4,2019,8064,0.238,0.011,,,-3192.0,10022.0,0.117,0.055,,3135,2514,2514,0.024,0.101,311,1028,620,-3695,6830,
VPB,3,2019,7977,0.329,0.041,,,-3122.0,9501.0,0.25,0.071,,2856,2283,2283,0.631,0.114,267,709,549,-3523,6379,
VPB,2,2019,7666,0.245,0.13,,,-3044.0,8869.0,0.295,0.114,,2560,2049,2049,0.452,0.441,162,489,553,-3266,5826,
VPB,1,2019,6785,0.126,0.042,,,-2976.0,7963.0,0.04,-0.113,,1783,1422,1422,-0.319,-0.421,134,745,298,-3204,4987,
VPB,4,2018,6513,0.146,0.085,,,-2841.0,8973.0,0.205,0.18,,3074,2455,2455,0.267,0.755,-388,608,2240,-3059,6132,
VPB,3,2018,6002,0.119,-0.026,,,-3104.0,7602.0,0.211,0.11,,1749,1399,1399,-0.261,-0.009,333,400,866,-2748,4497,
VPB,2,2018,6160,0.296,0.022,,,-2300.0,6851.0,0.173,-0.106,,1757,1412,1412,0.321,-0.324,-43,290,444,-2794,4551,
VPB,1,2018,6027,0.248,0.061,,,-2389.0,7660.0,0.417,0.028,,2619,2089,2089,0.359,0.078,188,314,1131,-2652,5271,
VPB,4,2017,5681,0.257,0.059,,,-2576.0,7449.0,0.48,0.187,,2491,1938,1938,0.341,0.023,6,413,1349,-2382,4873,
VPB,3,2017,5363,0.418,0.128,,,-2281.0,6277.0,0.503,0.075,,2372,1895,1895,0.386,0.772,69,403,443,-1625,3997,
VPB,2,2017,4753,0.362,-0.016,,,-2189.0,5839.0,0.447,0.08,,1340,1069,1069,1.773,-0.305,273,328,485,-2310,3650,
VPB,1,2017,4829,0.455,0.068,,,-1797.0,5406.0,0.486,0.074,,1924,1537,1537,0.769,0.064,65,305,206,-1685,3609,
VPB,4,2016,4520,0.479,0.195,,,-1883.0,5031.0,0.391,0.205,,1810,1445,1445,1.909,0.057,-226,290,448,-1338,3148,
VPB,3,2016,3782,0.309,0.084,,,-1943.0,4176.0,0.191,0.035,,1570,1367,1367,0.322,2.547,-74,213,255,-663,2233,
VPB,2,2016,3490,0.492,0.051,,,-1520.0,4036.0,0.5,0.109,,537,385,385,-0.301,-0.556,-72,175,443,-1979,2516,
VPB,1,2016,3319,0.604,0.086,,,-1283.0,3639.0,0.616,0.006,,1039,869,869,1.771,0.75,12,174,134,-1317,2356,
VPB,4,2015,3056,0.73,0.058,,,-2026.0,3618.0,0.887,0.032,,768,497,497,1.71,-0.52,-70,294,338,-824,1592,
VPB,3,2015,2889,1.63,0.235,,,-1530.0,3505.0,1.309,0.303,,1217,1034,1034,1.168,0.876,99,263,254,-759,1976,
VPB,2,2015,2339,0.861,0.13,,,-1093.0,2690.0,0.873,0.194,,708,551,551,0.324,0.758,-87,179,260,-889,1598,
VPB,1,2015,2069,0.772,0.171,,,-1044.0,2252.0,0.651,0.175,,403,314,314,0.996,0.711,11,150,23,-805,1209,
VPB,4,2014,1767,-0.001,0.608,,,-1228.0,1917.0,-0.06,0.263,,262,183,183,-0.692,-0.616,-14,216,-51,-428,690,
VPB,3,2014,1099,0.157,-0.126,,,-959.0,1518.0,0.31,0.057,,612,477,477,1.593,0.145,254,177,-12,53,559,
VPB,2,2014,1257,0.59,0.076,,,-775.0,1436.0,0.434,0.053,,533,416,416,4.894,1.65,51,111,18,-129,662,
VPB,1,2014,1167,0.656,-0.34,,,-721.0,1365.0,0.489,-0.331,,201,157,157,0.203,-0.735,90,103,4,-443,644,
VPB,4,2013,1768,1.007,0.862,,,-892.0,2040.0,1.189,0.761,,795,594,594,9.302,2.231,-32,231,72,-353,1148,
VPB,3,2013,950,0.306,0.201,,,-665.0,1159.0,0.357,0.157,,280,184,184,-0.088,1.603,31,150,27,-213,493,
VPB,2,2013,791,0.969,0.121,,,-618.0,1001.0,0.703,0.092,,137,71,71,-0.74,-0.459,207,94,-90,-246,383,
VPB,1,2013,705,0.163,-0.2,,,-561.0,917.0,0.209,-0.016,,143,131,131,0.246,1.265,38,79,94,-212,356,
VPB,4,2012,881,,0.212,,,-557.0,932.0,,0.092,,62,58,58,,-0.714,-182,191,42,-313,375,
VPB,3,2012,727,,0.811,,,-505.0,854.0,,0.452,,282,202,202,,-0.257,-3,115,14,-67,349,
VPB,2,2012,401,2.859,-0.338,,,-197.0,588.0,0.029,-0.224,,369,272,272,1.099,1.59,44,110,33,-23,391,
VPB,1,2012,606,16.601,,,,-541.0,758.0,0.465,,,143,105,105,-0.635,,60,27,65,-74,217,
VPB,2,2011,104,,2.02,,,-380.0,571.0,,0.104,,173,129,129,,-0.549,366,94,7,-19,192,
VPB,1,2011,34,,,,,-168.0,518.0,,,,291,287,287,,,384,83,17,-59,349,
CTG,3,2022,12924,0.309,0.076,,,-4847.0,17324.0,0.414,0.087,,4157,3320,3338,0.357,-0.281,697,1465,2238,-8321,12477,
CTG,2,2022,12013,0.104,0.184,,,-4272.0,15941.0,0.132,0.133,,5785,4681,4645,1.064,-0.004,1256,1560,1111,-5883,11668,
CTG,1,2022,10146,-0.047,-0.024,,,-3821.0,14070.0,0.089,0.013,,5822,4698,4664,-0.278,0.597,769,1278,1878,-4427,10249,
CTG,4,2021,10396,0.011,0.053,,,-5832.0,13887.0,0.059,0.133,,3678,2986,2921,-0.455,0.187,864,1158,1469,-4377,8055,
CTG,3,2021,9872,0.087,-0.093,,,-3647.0,12255.0,0.065,-0.13,,3061,2466,2460,0.053,0.093,864,1154,365,-5548,8609,
CTG,2,2021,10879,0.395,0.022,,,-4187.0,14083.0,0.412,0.09,,2790,2296,2250,-0.37,-0.652,714,1357,1134,-7106,9896,
CTG,1,2021,10642,0.264,0.035,,,-3512.0,12923.0,0.209,-0.014,,8060,6471,6462,1.676,0.206,559,1283,439,-1350,9410,
CTG,4,2020,10287,0.183,0.133,,,-5713.0,13110.0,0.24,0.139,,6706,5384,5356,1.017,1.292,977,1123,723,-690,7396,
CTG,3,2020,9078,0.09,0.164,,,-3749.0,11511.0,0.109,0.154,,2904,2342,2337,-0.069,-0.346,694,1057,682,-4858,7762,
CTG,2,2020,7798,-0.052,-0.074,,,-3282.0,9975.0,0.003,-0.066,,4486,3610,3572,1.022,0.479,879,1102,195,-2207,6693,
CTG,1,2020,8418,0.059,-0.031,,,-3318.0,10685.0,0.109,0.011,,2974,2405,2414,-0.045,-0.091,932,1059,275,-4393,7367,
CTG,4,2019,8692,31.884,0.043,,,-5130.0,10573.0,4.809,0.019,,3324,2654,2655,,0.057,-26,1009,898,-2120,5444,
CTG,3,2019,8330,0.11,0.012,,,-3753.0,10376.0,0.117,0.044,,3121,2517,2511,0.342,0.421,697,1092,257,-3502,6623,
CTG,2,2019,8227,0.142,0.035,,,-3619.0,9940.0,0.169,0.032,,2182,1768,1767,-0.023,-0.301,531,986,196,-4139,6321,
CTG,1,2019,7950,0.099,29.075,,,-3238.0,9632.0,0.09,4.292,,3153,2539,2528,0.041,,564,969,149,-3242,6394,
CTG,4,2018,264,-0.963,-0.965,,,-3385.0,1820.0,-0.79,-0.804,,-1037,-849,-833,,,210,785,561,527,-1565,
CTG,3,2018,7507,0.167,0.042,,,-3581.0,9289.0,0.221,0.093,,2330,1873,1871,-0.04,0.035,452,787,543,-3378,5708,
CTG,2,2018,7207,-0.015,-0.004,,,-3663.0,8502.0,-0.012,-0.038,,2238,1812,1808,-0.035,-0.255,260,607,428,-2601,4839,
CTG,1,2018,7234,0.173,0.011,,,-3455.0,8835.0,0.144,0.018,,3028,2441,2429,0.195,0.539,652,592,357,-2351,5379,
CTG,4,2017,7156,0.403,0.112,,,-5026.0,8681.0,0.401,0.141,,1974,1586,1578,0.01,-0.191,304,572,648,-1681,3655,
CTG,3,2017,6432,0.083,-0.121,,,-3369.0,7607.0,0.053,-0.116,,2419,1952,1950,0.099,0.041,249,374,552,-1820,4238,
CTG,2,2017,7319,0.243,0.187,,,-3560.0,8608.0,0.335,0.115,,2270,1882,1873,0.258,-0.078,754,397,138,-2779,5048,
CTG,1,2017,6166,0.147,0.209,,,-3114.0,7723.0,0.19,0.247,,2544,2039,2032,0.058,0.3,390,512,655,-2065,4609,
CTG,4,2016,5101,0.184,-0.141,,,-4144.0,6194.0,0.062,-0.143,,1969,1571,1562,0.252,-0.12,405,499,189,-81,2050,
CTG,3,2016,5939,0.21,0.009,,,-3047.0,7227.0,0.222,0.121,,2212,1779,1775,0.247,0.193,211,394,683,-1968,4181,
CTG,2,2016,5886,0.194,0.095,,,-3012.0,6448.0,0.123,-0.007,,1868,1491,1488,-0.165,-0.225,107,428,26,-1568,3436,
CTG,1,2016,5378,0.146,0.248,,,-2646.0,6492.0,0.235,0.113,,2405,1924,1919,0.542,0.538,337,377,400,-1441,3846,
CTG,4,2015,4309,-0.01,-0.122,,,-3354.0,5832.0,-0.032,-0.013,,1620,1255,1248,-0.137,-0.123,142,396,984,-859,2479,
CTG,3,2015,4909,0.089,-0.004,,,-2781.0,5912.0,0.147,0.029,,1847,1427,1423,0.141,-0.201,-25,386,642,-1284,3131,
CTG,2,2015,4928,0.096,0.05,,,-2403.0,5744.0,0.181,0.093,,2315,1787,1781,-0.054,0.431,17,407,392,-1026,3340,
CTG,1,2015,4692,0.111,0.078,,,-2182.0,5256.0,0.054,-0.128,,1564,1248,1245,0.096,-0.139,108,271,185,-1510,3074,
CTG,4,2014,4352,0.004,-0.035,,,-2795.0,6026.0,0.153,0.169,,1822,1451,1447,1.904,0.159,156,400,1119,-1409,3232,
CTG,3,2014,4509,-0.026,0.003,,,-2773.0,5156.0,-0.127,0.061,,1607,1251,1248,-0.429,-0.337,221,247,178,-775,2383,
CTG,2,2014,4495,-0.037,0.064,,,-1754.0,4861.0,-0.094,-0.025,,2415,1884,1882,-0.091,0.657,33,428,-95,-693,3108,
CTG,1,2014,4224,-0.091,-0.025,,,-2505.0,4988.0,-0.056,-0.046,,1458,1140,1136,0.092,1.28,181,393,190,-1025,2483,
CTG,4,2013,4333,-0.078,-0.064,,,-3056.0,5227.0,-0.102,-0.115,,706,502,498,-0.63,-0.772,64,435,394,-1465,2171,
CTG,3,2013,4630,-0.011,-0.008,,,-2199.0,5906.0,0.05,0.101,,2910,2190,2187,-0.193,0.056,163,421,692,-797,3707,
CTG,2,2013,4667,-0.004,0.005,,,-2085.0,5366.0,-0.021,0.016,,2767,2075,2070,2.627,0.991,131,366,202,-515,3281,
