ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
BCG,3,2018,232,-0.569,-0.036,-173,59,-36.0,23.0,0.46,1.647,-26,8,4,2,-0.832,-0.781,,,,,,29.0
BCG,2,2018,241,-0.375,-0.336,-193,48,-39.0,9.0,-0.242,-0.245,-70,15,10,9,-0.422,1.947,,,,,,15.0
BCG,1,2018,362,-0.086,-0.438,-314,48,-37.0,12.0,-0.281,-0.148,-8,8,5,3,0.015,-0.796,,,,,,18.0
BCG,4,2017,645,-0.02,0.199,-568,77,-63.0,14.0,-0.448,-0.143,-38,26,19,15,-0.007,0.272,,,,,,19.0
BCG,3,2017,538,0.389,0.399,-477,61,-45.0,16.0,-0.096,0.374,-5,21,15,12,11.018,-0.245,,,,,,21.0
BCG,2,2017,385,0.13,-0.029,-336,48,-37.0,12.0,0.135,-0.284,-32,16,12,16,9.281,4.176,,,,,,17.0
BCG,1,2017,396,0.492,-0.398,-348,48,-32.0,16.0,2.991,-0.345,-4,16,13,3,-0.332,-0.8,,,,,,21.0
BCG,4,2016,658,0.631,0.699,-586,72,-47.0,25.0,1.746,0.403,-45,23,17,15,0.188,14.392,,,,,,66.0
BCG,3,2016,387,0.283,0.138,-336,51,-34.0,17.0,1.924,0.725,-5,24,18,1,-0.923,-0.354,,,,,,29.0
BCG,2,2016,340,0.907,0.281,-297,44,-34.0,10.0,2.571,1.518,-2,21,14,2,-0.889,-0.664,,,,,,31.0
BCG,1,2016,266,1.832,-0.342,-225,41,-37.0,4.0,-0.278,-0.549,-2,21,15,5,0.062,-0.645,,,,,,7.0
BCG,4,2015,403,,0.336,-357,47,-38.0,9.0,,0.494,-4,30,28,13,,0.0,,,,,,11.0
BCG,3,2015,302,,0.691,-284,18,-12.0,6.0,,1.107,-4,17,15,13,,-0.072,,,,,,7.0
BCG,2,2015,179,,0.903,-153,25,-22.0,3.0,,-0.491,-5,19,13,14,,2.219,,,,,,9.0
BCG,1,2015,94,,,-87,7,-1.0,6.0,,,0,6,4,4,,,,,,,,
PVD,3,2022,1242,0.228,-0.18,-1125,117,-95.0,22.0,-0.372,,-45,-44,-52,-34,,,,,,,,243.0
PVD,2,2022,1514,0.371,0.321,-1389,125,-133.0,-8.0,,,-34,-59,-74,-60,,,,,,,,221.0
PVD,1,2022,1146,1.084,-0.141,-1076,70,-88.0,-18.0,,,-27,-65,-75,-56,,,,,,,,137.0
PVD,4,2021,1334,0.619,0.319,-1198,136,-98.0,37.0,,0.08,-27,54,50,50,-0.168,-0.26,,,,,,159.0
PVD,3,2021,1011,-0.204,-0.084,-892,119,-85.0,35.0,1.933,1.757,-27,69,56,67,0.726,9.92,,,,,,180.0
PVD,2,2021,1104,-0.248,1.009,-959,145,-133.0,13.0,,,-28,46,41,6,-0.901,,,,,,,199.0
PVD,1,2021,550,-0.672,-0.333,-578,-28,-85.0,-113.0,,,-28,-107,-110,-104,,,,,,,,-31.0
