ticker,quarter,year,shortAsset,cash,shortInvest,shortReceivable,inventory,longAsset,fixedAsset,asset,debt,shortDebt,longDebt,equity,capital,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan,badLoan,provision,netCustomerLoan,otherAsset,otherBankCredit,oweOtherBank,oweCentralBank,valuablePaper,payableInterest,receivableInterest,deposit,otherDebt,fund,unDistributedIncome,minorShareHolderProfit,payable
VIC,2,2018,114931,13304,1510,34735,54358,134074,40611,249005,162018,12112,35677,86987,26377,,,,,,,,,,,,,,,,,19154,,,45160.0,162018
VIC,1,2018,96804,7548,1184,28041,49945,126833,37151,223638,164171,23848,31320,59467,26377,,,,,,,,,,,,,,,,,23552,,,26264.0,164171
VIC,4,2017,100529,8611,203,28978,48615,114326,35647,214855,162549,17925,31457,52306,26377,,,,,,,,,,,,,,,,,22132,,,21090.0,162549
VIC,3,2017,100625,6947,301,27652,52179,104313,29933,204938,155220,11502,34672,49718,26377,,,,,,,,,,,,,,,,,19073,,,22069.0,155220
VIC,2,2017,93086,9531,89,21594,52373,100676,28989,193762,150402,11328,32779,43360,26377,,,,,,,,,,,,,,,,,21946,,,16436.0,150402
VIC,1,2017,90043,13700,197,17639,50760,97212,26504,187256,144098,6798,37983,43158,26377,,,,,,,,,,,,,,,,,24164,,,16919.0,144098
VIC,4,2016,70686,9971,494,20887,32045,109119,25116,179806,135224,5379,34158,44581,26377,,,,,,,,,,,,,,,,,19102,,,18196.0,135224
VIC,3,2016,84005,9653,2985,23108,37732,89229,23602,173234,131329,4485,40276,41905,26377,,,,,,,,,,,,,,,,,24330,,,15833.0,131329
VIC,2,2016,77944,4872,4621,22641,33629,80222,23183,158165,113831,4875,33940,44334,21532,,,,,,,,,,,,,,,,,24731,,,17936.0,113831
VIC,1,2016,68546,4681,11012,16299,25331,80375,21109,148922,107943,3031,36382,40979,19399,,,,,,,,,,,,,,,,,28394,,,15074.0,107943
VIC,4,2015,66451,7637,10430,13582,26966,79605,19703,146057,108603,1400,33176,37454,18682,,,,,,,,,,,,,,,,,28369,,,14544.0,108603
VIC,3,2015,60726,9896,6268,11092,22485,65208,13471,125934,94314,3207,30363,31620,18461,,,,,,,,,,,,,,,,,25835,,,9424.0,94314
VIC,2,2015,49449,8828,7154,8317,20907,61181,12641,110630,79887,3712,30833,30742,14588,,,,,,,,,,,,,,,,,21701,,,8947.0,79887
VIC,1,2015,38940,5400,6138,6722,16027,57117,25333,96057,68107,3714,32412,20828,14546,,,,,,,,,,,,,,,,,13650,,,0.0,68107
VIC,4,2014,31609,7608,6320,2936,11880,58874,27055,90483,63205,1321,32015,20416,14546,,,,,,,,,,,,,,,,,6120,,,0.0,63205
VIC,3,2014,36550,5209,7235,4548,13607,46242,21760,82792,55496,1775,29935,18426,14300,,,,,,,,,,,,,,,,,4319,,,0.0,55496
VIC,2,2014,42981,6721,6344,4360,15114,41120,15479,84101,60054,4589,28178,17529,9296,,,,,,,,,,,,,,,,,4621,,,0.0,60054
VIC,1,2014,40149,8134,6295,3085,16831,38158,15723,78306,57162,3786,26945,15550,9296,,,,,,,,,,,,,,,,,947,,,0.0,57162
VIC,4,2013,37065,7534,5627,6744,15910,37915,14163,74980,56255,3023,24360,17759,9296,,,,,,,,,,,,,,,,,1288,,,0.0,56255
VIC,3,2013,29979,6270,2327,3509,16661,31601,11271,61581,44878,2458,17369,16399,9288,,,,,,,,,,,,,,,,,1208,,,0.0,44878
VIC,2,2013,31529,2387,3933,3295,19994,27010,13153,58538,43487,1919,17154,14638,9286,,,,,,,,,,,,,,,,,1092,,,0.0,43487
VIC,1,2013,31360,4175,1616,3635,19870,27489,11413,58849,47302,6118,17133,10846,9281,,,,,,,,,,,,,,,,,1284,,,0.0,47302
VIC,4,2012,28387,1617,3865,3809,17376,27431,10982,55818,44945,3067,18763,10557,7005,,,,,,,,,,,,,,,,,1040,,,0.0,44945
VIC,3,2012,27003,3398,4463,3017,14650,24117,12380,51120,41540,3066,16871,9818,7005,,,,,,,,,,,,,,,,,1235,,,0.0,41540
VIC,2,2012,23088,3504,3999,2848,12526,22818,11469,45906,36720,5118,12150,9723,7005,,,,,,,,,,,,,,,,,1277,,,0.0,36720
VIC,1,2012,21339,1007,3498,5463,11055,22073,11600,43412,34957,3861,8966,8863,5494,,,,,,,,,,,,,,,,,1250,,,0.0,34957
VIC,4,2011,18647,1232,4178,5150,7872,16595,7571,35242,26991,4625,5409,6501,3911,,,,,,,,,,,,,,,,,2379,,,0.0,26991
VIC,3,2011,18596,893,3710,3677,10132,14694,5422,33290,24622,1178,8044,6255,3911,,,,,,,,,,,,,,,,,1878,,,0.0,24622
VIC,2,2011,16231,192,4911,5048,5968,13093,4478,29323,20153,381,8519,6029,3911,,,,,,,,,,,,,,,,,5360,,,0.0,20153
VIC,1,2011,13535,649,4366,5683,2774,14083,6057,27619,17132,520,10782,7473,3816,,,,,,,,,,,,,,,,,2263,,,0.0,17132
VIC,4,2010,13326,1515,3819,5664,2264,12820,4714,26147,16593,294,11190,6843,3726,,,,,,,,,,,,,,,,,2347,,,0.0,16593
VIC,3,2010,7648,511,5201,1726,0,11660,6466,19308,13647,94,10119,3786,3682,,,,,,,,,,,,,,,,,2241,,,0.0,13647
VIC,2,2010,7160,958,4353,1656,1,10078,5789,17238,12054,94,10417,3432,3605,,,,,,,,,,,,,,,,,318,,,0.0,12054
VIC,1,2010,6085,248,4768,862,6,8451,5779,14536,10616,10,9361,2112,1996,,,,,,,,,,,,,,,,,39,,,0.0,10616
VIC,4,2009,6982,1443,4358,985,14,7567,5069,14549,10818,242,9014,2112,1996,,,,,,,,,,,,,,,,,90,,,0.0,10818
VIC,3,2009,3336,287,2147,711,5,4840,3137,8177,5524,0,4245,2374,1996,,,,,,,,,,,,,,,,,504,,,0.0,5524
VIC,2,2009,1902,18,1123,575,2,4432,2810,6333,4633,0,3939,1554,1200,,,,,,,,,,,,,,,,,179,,,0.0,4633
VIC,1,2009,2263,43,1489,527,12,3962,2486,6226,4603,0,3920,1499,1200,,,,,,,,,,,,,,,,,106,,,0.0,4603
VIC,4,2008,2512,80,1690,667,25,3530,2240,6042,4411,622,3166,1506,1200,,,,,,,,,,,,,,,,,93,,,0.0,4411
VIC,3,2008,3032,191,2087,693,34,2503,1108,5535,3704,0,3166,1706,1200,,,,,,,,,,,,,,,,,141,,,0.0,3704
VIC,2,2008,4166,551,2876,714,16,1191,441,5357,3441,0,3000,1801,1200,,,,,,,,,,,,,,,,,166,,,0.0,3441
VIC,1,2008,2827,118,2330,373,1,987,382,3814,1365,195,1000,2282,1200,,,,,,,,,,,,,,,,,52,,,0.0,1365
VIC,4,2007,2017,397,1330,289,0,1073,109,3090,1230,0,1000,1861,800,,,,,,,,,,,,,,,,,113,,,0.0,1230
VIC,3,2007,1326,995,212,117,0,542,108,1868,139,0,0,1730,800,,,,,,,,,,,,,,,,,35,,,0.0,139
VIC,2,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,0.0,0
VIC,1,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,0.0,0
BCM,3,2022,28350,1580,290,5145,21239,20878,1221,49228,30636,4282,10873,18592,10350,,,,,,,,,,,,,,,,,803,,0.0,1089.0,30636
BCM,2,2022,29024,2834,271,4395,21460,20910,1241,49934,31527,4820,11028,18407,10350,,,,,,,,,,,,,,,,,1409,,0.0,1044.0,31527
BCM,1,2022,29524,4007,230,3695,21538,19979,1206,49504,31974,3365,12387,17530,10350,,,,,,,,,,,,,,,,,1400,,0.0,981.0,31974
BCM,4,2021,28630,2975,224,4870,20469,19935,1220,48565,31797,4245,12390,16768,10350,,,,,,,,,,,,,,,,,925,,0.0,1104.0,31797
BCM,3,2021,29598,2814,122,3429,23151,18655,1241,48253,31944,4457,12043,16310,10350,,,,,,,,,,,,,,,,,814,,0.0,1055.0,31944
BCM,2,2021,29750,3338,111,3344,22907,18714,1283,48464,31948,5451,10603,16517,10350,,,,,,,,,,,,,,,,,1418,,0.0,1054.0,31948
BCM,1,2021,27111,2349,86,2609,22003,19254,1206,46365,29332,5336,8702,17033,10350,,,,,,,,,,,,,,,,,1436,,0.0,764.0,29332
BCM,4,2020,29698,1784,64,3655,24166,18492,1819,48191,31456,6082,8818,16735,10350,,,,,,,,,,,,,,,,,1454,,0.0,1160.0,31456
BCM,3,2020,29484,2029,89,3631,23704,17188,1833,46672,30430,8780,6848,16242,10350,,,,,,,,,,,,,,,,,1577,,0.0,1139.0,30430
BCM,2,2020,27728,439,140,3649,23451,16694,1853,44422,28659,9424,4906,15763,10350,,,,,,,,,,,,,,,,,1561,,0.0,1079.0,28659
BCM,1,2020,28342,320,335,4080,23555,15683,1813,44025,27972,9102,5284,16053,10350,,,,,,,,,,,,,,,,,1106,,0.0,1119.0,27972
BCM,4,2019,28451,406,338,4876,22805,15051,1845,43502,28492,9037,5511,15010,10350,,,,,,,,,,,,,,,,,901,,0.0,1122.0,28492
BCM,3,2019,29749,1067,755,4396,23382,14636,1852,44385,29964,7890,9612,14421,10350,,,,,,,,,,,,,,,,,502,,0.0,1120.0,29964
BCM,2,2019,30552,2561,480,4443,23002,14491,1541,45043,31069,8888,9669,13974,10126,,,,,,,,,,,,,,,,,1034,,0.0,1099.0,31069
BCM,1,2019,30275,2687,479,4894,22123,14319,1706,44594,30706,8967,10651,13888,10126,,,,,,,,,,,,,,,,,246,,0.0,1220.0,30706
BCM,4,2018,30379,2573,431,6129,21181,14250,1730,44629,32030,11299,8356,12599,10126,,,,,,,,,,,,,,,,,121,,,1061.0,32030
BCM,3,2018,37552,2776,452,6597,27652,16113,1734,53666,40727,8020,14252,12939,10126,,,,,,,,,,,,,,,,,159,,,1059.0,40727
BCM,2,2018,38104,2806,451,6869,27928,15588,1823,53693,40885,8253,14614,12808,10126,,,,,,,,,,,,,,,,,282,,,1096.0,40885
BCM,1,2018,36967,2043,603,6812,27417,14384,1566,51351,40276,8023,13319,11074,7952,,,,,,,,,,,,,,,,,999,,,1158.0,40276
HDC,3,2022,3108,13,96,1200,1786,1514,331,4622,2930,747,962,1692,1081,,,,,,,,,,,,,,,,,661,,0.0,23.0,2930
HDC,2,2022,3126,27,91,1156,1841,1411,334,4538,2917,742,1028,1620,1081,,,,,,,,,,,,,,,,,611,,0.0,23.0,2917
HDC,1,2022,3038,30,110,1017,1872,1101,341,4140,2597,641,965,1543,865,,,,,,,,,,,,,,,,,554,,0.0,24.0,2597
HDC,4,2021,2671,62,10,731,1859,1106,341,3777,2293,522,822,1484,865,,,,,,,,,,,,,,,,,456,,0.0,23.0,2293
HDC,3,2021,2076,55,60,680,1273,1315,345,3390,2008,481,759,1382,865,,,,,,,,,,,,,,,,,402,,0.0,21.0,2008
HDC,2,2021,2058,55,60,567,1372,1332,349,3390,2107,399,828,1283,831,,,,,,,,,,,,,,,,,512,,0.0,22.0,2107
HDC,1,2021,2116,38,10,510,1552,1227,864,3343,2103,621,630,1240,665,,,,,,,,,,,,,,,,,272,,0.0,23.0,2103
HDC,4,2020,2105,30,10,455,1606,1226,852,3332,2190,555,460,1142,665,,,,,,,,,,,,,,,,,321,,0.0,20.0,2190
HDC,3,2020,1325,41,10,306,966,1243,851,2568,1550,452,565,1018,665,,,,,,,,,,,,,,,,,301,,0.0,16.0,1550
HDC,2,2020,1434,41,10,414,967,1247,852,2681,1472,379,481,1209,665,,,,,,,,,,,,,,,,,297,,0.0,238.0,1472
HDC,1,2020,1327,61,10,442,813,1240,852,2568,1372,414,492,1196,579,,,,,,,,,,,,,,,,,225,,0.0,240.0,1372
HDC,4,2019,1528,54,10,527,938,970,561,2499,1370,430,482,1129,579,,,,,,,,,,,,,,,,,225,,0.0,212.0,1370
HDC,3,2019,1425,39,10,496,872,794,425,2219,1281,485,463,938,579,,,,,,,,,,,,,,,,,213,,0.0,102.0,1281
HDC,2,2019,1568,127,10,665,761,415,48,1983,1154,415,386,829,579,,,,,,,,,,,,,,,,,207,,0.0,18.0,1154
HDC,1,2019,1380,83,10,625,660,337,44,1717,908,235,404,808,504,,,,,,,,,,,,,,,,,133,,0.0,18.0,908
HDC,4,2018,1300,84,4,560,651,339,45,1639,836,309,297,803,504,,,,,,,,,,,,,,,,,100,,,18.0,836
HDC,3,2018,1177,78,4,422,672,311,45,1488,743,234,365,745,504,,,,,,,,,,,,,,,,,37,,,17.0,743
HDC,2,2018,1087,97,4,336,649,312,46,1399,657,181,352,742,504,,,,,,,,,,,,,,,,,32,,,18.0,657
HDC,1,2018,1299,102,4,305,887,115,44,1414,682,140,377,731,451,,,,,,,,,,,,,,,,,30,,,17.0,682
HDC,4,2017,1386,93,4,295,992,116,45,1502,786,154,368,716,451,,,,,,,,,,,,,,,,,41,,,17.0,786
HDC,3,2017,1445,14,59,370,1000,121,47,1566,874,141,346,692,451,,,,,,,,,,,,,,,,,36,,,17.0,874
HDC,2,2017,1426,15,71,306,1030,117,45,1543,908,207,365,635,451,,,,,,,,,,,,,,,,,78,,,18.0,908
HDC,1,2017,1353,43,3,326,979,124,60,1477,797,171,355,680,451,,,,,,,,,,,,,,,,,38,,,17.0,797
HDC,4,2016,1314,28,3,368,913,110,47,1424,756,148,330,668,451,,,,,,,,,,,,,,,,,46,,,17.0,756
HDC,3,2016,1184,10,3,257,909,107,45,1292,655,190,286,637,411,,,,,,,,,,,,,,,,,51,,,18.0,655
HDC,2,2016,1218,11,3,296,900,108,46,1326,681,208,269,645,411,,,,,,,,,,,,,,,,,50,,,18.0,681
HDC,1,2016,1136,18,3,303,807,107,44,1243,604,223,206,638,411,,,,,,,,,,,,,,,,,49,,,17.0,604
HDC,4,2015,1089,17,3,216,853,108,45,1197,562,237,168,634,411,,,,,,,,,,,,,,,,,49,,,17.0,562
HDC,3,2015,1010,8,2,133,866,157,42,1167,562,276,120,605,411,,,,,,,,,,,,,,,,,86,,,16.0,562
HDC,2,2015,971,13,7,106,844,157,41,1128,530,233,120,598,411,,,,,,,,,,,,,,,,,71,,,16.0,530
HDC,1,2015,987,9,13,96,855,158,42,1144,530,198,140,598,411,,,,,,,,,,,,,,,,,55,,,0.0,530
HDC,4,2014,1050,31,3,132,871,158,44,1208,598,166,174,593,274,,,,,,,,,,,,,,,,,61,,,0.0,598
HDC,3,2014,1037,9,3,130,883,160,45,1197,602,159,168,578,274,,,,,,,,,,,,,,,,,51,,,0.0,602
HDC,2,2014,1046,8,3,132,889,160,45,1207,618,208,153,572,274,,,,,,,,,,,,,,,,,53,,,0.0,618
HDC,1,2014,1061,11,4,124,907,162,46,1223,641,190,168,566,274,,,,,,,,,,,,,,,,,61,,,0.0,641
HDC,4,2013,1109,15,2,140,941,163,47,1273,694,205,181,562,274,,,,,,,,,,,,,,,,,88,,,0.0,694
HDC,3,2013,1133,8,1,134,974,165,48,1299,709,263,139,574,274,,,,,,,,,,,,,,,,,84,,,0.0,709
HDC,2,2013,1140,16,2,139,968,166,49,1307,717,265,152,573,274,,,,,,,,,,,,,,,,,83,,,0.0,717
HDC,1,2013,1134,8,3,143,963,168,50,1302,716,269,166,569,274,,,,,,,,,,,,,,,,,81,,,0.0,716
HDC,4,2012,1131,18,2,155,939,168,51,1298,717,256,176,564,274,,,,,,,,,,,,,,,,,84,,,0.0,717
HDC,3,2012,1112,19,2,156,917,167,52,1279,717,237,205,547,274,,,,,,,,,,,,,,,,,83,,,0.0,717
HDC,2,2012,1090,8,3,148,912,169,53,1259,699,239,214,544,274,,,,,,,,,,,,,,,,,79,,,0.0,699
HDC,1,2012,1089,22,2,172,872,169,54,1258,685,227,221,557,239,,,,,,,,,,,,,,,,,76,,,0.0,685
HDC,4,2011,1081,48,2,167,846,169,55,1250,676,227,205,558,239,,,,,,,,,,,,,,,,,73,,,0.0,676
HDC,3,2011,1026,40,4,171,791,166,58,1192,645,165,194,531,239,,,,,,,,,,,,,,,,,93,,,0.0,645
HDC,2,2011,986,33,4,221,715,164,54,1150,612,130,192,522,239,,,,,,,,,,,,,,,,,91,,,0.0,612
HDC,1,2011,989,48,4,266,660,174,32,1163,640,128,186,508,200,,,,,,,,,,,,,,,,,99,,,0.0,640
HDC,4,2010,958,73,3,226,644,191,49,1149,666,149,163,484,200,,,,,,,,,,,,,,,,,133,,,0.0,666
HDC,3,2010,881,90,3,213,566,171,43,1052,555,159,137,497,200,,,,,,,,,,,,,,,,,91,,,0.0,555
HDC,2,2010,891,162,3,203,515,167,43,1058,778,196,129,280,155,,,,,,,,,,,,,,,,,260,,,0.0,778
HDC,1,2010,695,20,4,127,540,106,35,801,539,156,118,262,108,,,,,,,,,,,,,,,,,90,,,0.0,539
HDC,4,2009,695,50,4,95,544,79,33,774,568,148,122,206,81,,,,,,,,,,,,,,,,,102,,,0.0,568
HDC,3,2009,632,40,3,132,456,73,28,705,525,410,115,180,81,,,,,,,,,,,,,,,,,0,,,0.0,525
HDC,2,2009,581,18,2,97,462,69,23,649,501,138,104,148,81,,,,,,,,,,,,,,,,,49,,,0.0,501
HDC,1,2009,546,6,2,105,431,29,24,575,444,97,103,131,81,,,,,,,,,,,,,,,,,47,,,0.0,444
HDC,4,2008,488,6,2,96,383,77,26,565,434,326,0,131,81,,,,,,,,,,,,,,,,,0,,,0.0,434
HDC,3,2008,525,7,3,98,416,28,24,554,413,314,0,141,81,,,,,,,,,,,,,,,,,0,,,0.0,413
HDC,2,2008,518,9,5,94,409,25,20,542,409,24,102,134,81,,,,,,,,,,,,,,,,,29,,,0.0,409
HDC,1,2008,564,65,5,119,373,25,22,589,462,1,117,127,81,,,,,,,,,,,,,,,,,54,,,0.0,462
HDC,4,2007,551,25,4,139,382,27,24,578,460,23,125,118,81,,,,,,,,,,,,,,,,,55,,,0.0,460
HDC,3,2007,504,7,6,152,333,60,25,563,437,36,98,126,81,,,,,,,,,,,,,,,,,24,,,0.0,437
HDC,2,2007,478,5,0,147,321,57,26,535,416,33,96,119,81,,,,,,,,,,,,,,,,,26,,,0.0,416
HDC,1,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,0.0,0
GEG,3,2022,1928,650,46,752,153,14229,10121,16157,11263,629,7152,4894,3219,,,,,,,,,,,,,,,,,17,,0.0,1242.0,11263
GEG,2,2022,1350,271,7,823,155,11323,10206,12673,8734,604,6618,3939,3219,,,,,,,,,,,,,,,,,12,,0.0,401.0,8734
GEG,1,2022,1533,286,6,1015,154,11067,10346,12599,8692,458,6655,3908,3037,,,,,,,,,,,,,,,,,11,,0.0,392.0,8692
GEG,4,2021,1316,256,0,772,146,11156,10504,12473,8735,408,6695,3738,3037,,,,,,,,,,,,,,,,,17,,0.0,360.0,8735
GEG,3,2021,1867,476,0,739,150,10693,5063,12560,9023,459,6045,3537,3037,,,,,,,,,,,,,,,,,31,,0.0,215.0,9023
GEG,2,2021,1498,168,0,911,154,8238,5170,9735,6332,461,4546,3403,2712,,,,,,,,,,,,,,,,,11,,0.0,275.0,6332
GEG,1,2021,1551,45,0,1286,152,6133,5258,7684,4348,674,3257,3336,2712,,,,,,,,,,,,,,,,,10,,0.0,268.0,4348
GEG,4,2020,1788,135,0,1443,152,5980,5365,7768,4299,599,3203,3469,2712,,,,,,,,,,,,,,,,,12,,0.0,401.0,4299
GEG,3,2020,1411,222,0,923,217,5678,5292,7089,4331,910,3178,2758,2202,,,,,,,,,,,,,,,,,11,,0.0,264.0,4331
GEG,2,2020,1185,37,12,826,259,5598,5148,6782,4087,907,2980,2695,2039,,,,,,,,,,,,,,,,,16,,0.0,253.0,4087
GEG,1,2020,1170,45,20,724,318,5514,5175,6685,4025,520,3295,2659,2039,,,,,,,,,,,,,,,,,85,,0.0,269.0,4025
GEG,4,2019,994,105,12,494,313,5773,5262,6767,4184,554,3343,2583,2039,,,,,,,,,,,,,,,,,127,,0.0,259.0,4184
GEG,3,2019,951,283,12,411,160,5658,5300,6609,4091,169,3421,2518,2039,,,,,,,,,,,,,,,,,14,,0.0,249.0,4091
GEG,2,2019,959,276,0,382,152,5667,5321,6625,4148,213,3018,2478,2039,,,,,,,,,,,,,,,,,14,,0.0,256.0,4148
GEG,1,2019,1065,454,0,366,56,4277,2977,5342,2775,135,2125,2567,1942,,,,,,,,,,,,,,,,,7,,0.0,345.0,2775
GEG,4,2018,1229,609,252,244,25,3131,2879,4359,1952,106,1421,2407,1942,,,,,,,,,,,,,,,,,10,,,233.0,1952
GEG,3,2018,1715,1262,0,274,42,1527,1059,3242,940,180,554,2302,1928,,,,,,,,,,,,,,,,,109,,,172.0,940
GEG,2,2018,846,403,0,355,34,1296,1080,2142,748,103,492,1394,971,,,,,,,,,,,,,,,,,8,,,156.0,748
GEG,1,2018,518,125,7,360,25,1176,1094,1694,326,46,227,1368,971,,,,,,,,,,,,,,,,,7,,,152.0,326
GEG,4,2017,486,223,8,228,26,1173,1114,1659,341,8,230,1318,971,,,,,,,,,,,,,,,,,35,,,125.0,341
GEG,3,2017,445,155,10,252,27,1166,1125,1611,329,10,255,1281,971,,,,,,,,,,,,,,,,,16,,,132.0,329
GEG,2,2017,429,108,10,286,23,1169,1135,1598,364,37,264,1234,894,,,,,,,,,,,,,,,,,22,,,203.0,364
GEG,1,2017,379,81,0,276,20,1191,1150,1570,367,68,253,1203,745,,,,,,,,,,,,,,,,,7,,,198.0,367
GEG,4,2016,342,68,0,257,16,1209,1153,1552,401,45,265,1151,745,,,,,,,,,,,,,,,,,37,,,184.0,401
GEG,3,2016,303,15,0,265,22,1226,1170,1529,414,185,182,1114,745,,,,,,,,,,,,,,,,,7,,,196.0,414
GEG,2,2016,423,36,0,368,17,1240,1185,1663,557,103,409,1106,745,,,,,,,,,,,,,,,,,5,,,195.0,557
GEG,1,2016,420,46,0,348,18,1438,1203,1857,691,72,565,1166,745,,,,,,,,,,,,,,,,,11,,,280.0,691
GEG,4,2015,495,89,0,391,10,1400,1224,1895,734,103,517,1161,745,,,,,,,,,,,,,,,,,45,,,282.0,734
GEG,3,2013,317,62,186,46,15,1277,1147,1594,757,125,566,657,523,,,,,,,,,,,,,,,,,9,,,0.0,757
GEG,2,2013,405,111,202,67,14,1048,918,1453,598,74,399,676,523,,,,,,,,,,,,,,,,,89,,,0.0,598
GEG,1,2013,373,64,261,29,12,1108,925,1481,540,75,418,753,523,,,,,,,,,,,,,,,,,14,,,0.0,540
GEG,4,2012,419,106,262,38,8,1058,931,1477,559,65,418,734,523,,,,,,,,,,,,,,,,,27,,,0.0,559
GEG,3,2012,498,65,271,73,72,1401,1260,1899,889,188,612,727,523,,,,,,,,,,,,,,,,,25,,,0.0,889
GEG,2,2012,601,77,265,73,160,1401,1257,2002,972,214,625,727,523,,,,,,,,,,,,,,,,,19,,,0.0,972
GEG,2,2011,325,53,134,14,105,1058,805,1383,758,95,469,395,261,,,,,,,,,,,,,,,,,17,,,0.0,758
VCG,3,2022,19442,911,1917,10282,5882,11524,2665,30966,20996,4916,7905,9970,4859,,,,,,,,,,,,,,,,,907,,0.0,3050.0,20996
VCG,2,2022,20395,1215,3282,9855,5648,10864,2673,31258,21538,5770,7871,9721,4417,,,,,,,,,,,,,,,,,1036,,0.0,2987.0,21538
VCG,1,2022,20549,1642,4399,10416,3743,10080,2633,30629,21480,5518,8832,9149,4417,,,,,,,,,,,,,,,,,970,,0.0,1897.0,21480
VCG,4,2021,21462,2742,3943,10852,3630,9733,2532,31195,23554,5027,6649,7641,4417,,,,,,,,,,,,,,,,,743,,0.0,1044.0,23554
VCG,3,2021,21681,1322,2699,14263,3197,9159,2512,30840,23231,3181,7135,7609,4417,,,,,,,,,,,,,,,,,957,,0.0,1009.0,23231
VCG,2,2021,21359,2828,1870,13759,2713,8767,2551,30126,22688,2941,6870,7439,4417,,,,,,,,,,,,,,,,,974,,0.0,876.0,22688
VCG,1,2021,15001,895,1693,9750,2474,6496,2557,21497,13804,2368,2207,7693,4417,,,,,,,,,,,,,,,,,748,,0.0,1000.0,13804
VCG,4,2020,12965,2035,1518,7363,1880,6694,2586,19659,12472,2271,2137,7187,4417,,,,,,,,,,,,,,,,,1182,,0.0,791.0,12472
VCG,3,2020,12100,2025,1133,6798,1984,7257,2472,19357,10560,1821,2274,8797,4417,,,,,,,,,,,,,,,,,1223,,0.0,891.0,10560
VCG,2,2020,11110,1456,694,6957,1864,6924,2519,18035,10274,1827,2294,7761,4417,,,,,,,,,,,,,,,,,982,,0.0,857.0,10274
VCG,1,2020,10549,942,805,6806,1855,6967,2377,17517,9845,1618,2442,7672,4417,,,,,,,,,,,,,,,,,822,,0.0,814.0,9845
